genre,popularity, acousticness , danceability ,duration_ms, energy , liveness , loudness , speechiness , tempo , valence 
Dance,53,"  0,03 ","  0,51 ",169730,"  0,80 ","  0,36 ","  (5,16)","  0,37 ","  159,90 ","  0,40 "
Dance,56,"  0,10 ","  0,82 ",243946,"  0,56 ","  0,36 ","  (7,78)","  0,04 ","  125,03 ","  0,57 "
Dance,56,"  0,01 ","  0,58 ",251800,"  0,84 ","  0,10 ","  (5,09)","  0,09 ","  178,14 ","  0,31 "
Dance,49,"  0,01 ","  0,66 ",214760,"  0,94 ","  0,12 ","  (3,55)","  0,07 ","  133,05 ","  0,75 "
Dance,52,"  0,41 ","  0,54 ",299040,"  0,71 ","  0,07 ","  (8,87)","  0,03 ","  124,05 ","  0,69 "
Dance,45,"  0,01 ","  0,57 ",191880,"  0,93 ","  0,49 ","  (2,70)","  0,05 ","  135,52 ","  0,85 "
Dance,50,"  0,34 ","  0,72 ",160093,"  0,67 ","  0,14 ","  (5,79)","  0,03 ","  75,03 ","  0,62 "
Dance,43,"  0,05 ","  0,65 ",252427,"  0,77 ","  0,11 ","  (6,87)","  0,04 ","  165,03 ","  0,67 "
Dance,47,"  0,37 ","  0,54 ",216907,"  0,73 ","  0,13 ","  (4,67)","  0,04 ","  123,88 ","  0,36 "
Dance,54,"  0,04 ","  0,61 ",167960,"  0,86 ","  0,03 ","  (7,10)","  0,05 ","  131,20 ","  0,95 "
Dance,47,"  0,02 ","  0,56 ",214853,"  0,84 ","  0,09 ","  (4,92)","  0,14 ","  135,94 ","  0,41 "
Dance,50,"  0,34 ","  0,63 ",225720,"  0,32 ","  0,20 ","  (10,11)","  0,04 ","  131,89 ","  0,06 "
Dance,47,"  0,04 ","  0,71 ",204973,"  0,92 ","  0,13 ","  (11,84)","  0,05 ","  115,09 ","  0,90 "
Dance,53,"  0,00 ","  0,64 ",208867,"  0,68 ","  0,04 ","  (9,37)","  0,06 ","  96,99 ","  0,68 "
Dance,51,"  0,51 ","  0,49 ",195933,"  0,43 ","  0,10 ","  (10,71)","  0,09 ","  98,04 ","  0,26 "
Dance,51,"  0,29 ","  0,71 ",227319,"  0,65 ","  0,08 ","  (6,39)","  0,06 ","  120,02 ","  0,32 "
Dance,44,"  0,41 ","  0,61 ",207973,"  0,59 ","  0,11 ","  (9,36)","  0,05 ","  130,03 ","  0,37 "
Dance,54,"  0,10 ","  0,77 ",224507,"  0,59 ","  0,11 ","  (9,64)","  0,05 ","  104,95 ","  0,33 "
Dance,48,"  0,05 ","  0,65 ",189677,"  0,75 ","  0,15 ","  (4,27)","  0,07 ","  123,96 ","  0,65 "
Dance,50,"  0,08 ","  0,56 ",202440,"  0,87 ","  0,10 ","  (2,90)","  0,07 ","  150,12 ","  0,40 "
Dance,47,"  0,00 ","  0,70 ",174867,"  0,71 ","  0,09 ","  (8,92)","  0,08 ","  138,73 ","  0,91 "
Dance,48,"  0,07 ","  0,77 ",347347,"  0,79 ","  0,43 ","  (8,28)","  0,06 ","  121,10 ","  0,84 "
Dance,48,"  0,51 ","  0,43 ",172678,"  0,58 ","  0,11 ","  (9,05)","  0,43 ","  170,92 ","  0,46 "
Dance,47,"  0,09 ","  0,60 ",186120,"  0,90 ","  0,09 ","  (3,14)","  0,14 ","  100,01 ","  0,39 "
Dance,41,"  0,03 ","  0,85 ",204493,"  0,94 ","  0,37 ","  (3,26)","  0,07 ","  129,94 ","  0,96 "
Dance,46,"  0,10 ","  0,73 ",282173,"  0,42 ","  0,51 ","  (7,20)","  0,04 ","  117,02 ","  0,31 "
Dance,46,"  0,09 ","  0,42 ",209840,"  0,78 ","  0,11 ","  (5,67)","  0,23 ","  75,45 ","  0,60 "
Dance,47,"  0,25 ","  0,69 ",365560,"  0,60 ","  0,10 ","  (6,83)","  0,08 ","  130,06 ","  0,27 "
Electronic,65,"  0,07 ","  0,64 ",182400,"  0,93 ","  0,09 ","  (2,89)","  0,09 ","  150,04 ","  0,16 "
